,Record ID,SchoolName,City,State,Borough,ZipCode,LastInspection,Permittee,InspectionDate,PTET,Site Type,Level,Code,ViolationDescription,LATITUDE,LONGITUDE,COUNCILDISTRICT,BIN,Address,2021-2022 Segment Enrollment,Public Status
10,40542973,P.S. 175 CITY ISLAND,Bronx,NY,Bronx,10464.0,7/19/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,4/11/2022,2530,FSE (Public School Cafeteria),,,,40.84386641,-73.78521707,13,2082444.0,200 CITY ISLAND AVENUE,168582,Public
11,41218279,CAMBRIA CENTER FOR THE GIFTED CHILD,CAMBRIA HTS,NY,Queens,11411.0,1/13/2023,CAMBRIA ACADEMY GIFTED LTD,3/1/2021,2529,FSE (Private School Cafeteria - For Profit),,,,40.69102838,-73.72889899,27,4274720.0,23310 LINDEN BOULEVARD,39686,Private
12,50015686,GED PLUS - CITYWIDE,Brooklyn,NY,Brooklyn,11231.0,10/4/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/4/2022,2530,FSE (Public School Cafeteria),C,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,40.67891196,-74.00961898,38,3331865.0,88 VISITATION PLACE,260855,Public
13,40542774,INTERNATIONAL ART AND BUSINESS HS,Brooklyn,NY,Brooklyn,11203.0,3/22/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,8/3/2021,2530,FSE (Public School Cafeteria),C,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,40.65888574,-73.9424585,40,3107227.0,600 KINGSTON AVENUE,260855,Public
14,41171740,UNITED TALMUDICAL ACADEMY,Brooklyn,NY,Brooklyn,11249.0,3/22/2023,TALMUDICAL ACAD UNITED,6/24/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,40.7035344,-73.96047471,33,3060113.0,590 BEDFORD AVENUE,116725,Private
15,40543628,P.S. 022 GRANITEVILLE,,NY,Staten Island,10303.0,1/17/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,4/7/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.62536101,-74.15096989,49,5107239.0,1860 FOREST AVENUE,61797,Public
16,50046980,YESHIVAT OHR HAIIM,RICHMOND HILL,NY,Queens,11418.0,1/11/2023,YESHIVAT OHR HAIIM INC,6/7/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.70566244,-73.82052357,29,4206444.0,8606 135TH ST,39686,Private
17,50132228,SAMARA COMMUNITY SCHOOL,Bronx,NY,Bronx,10460.0,2/27/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,2/27/2023,2530,FSE (Public School Cafeteria),,,,40.83321725,-73.88496842,17,2000000.0,1570 BOONE AVENUE,168582,Public
18,40403839,TRINITY SCHOOL,New York,NY,Manhattan,10024.0,12/1/2022,FLIK INTERNATIONAL CORPORATION,12/1/2022,2529,FSE (Private School Cafeteria - For Profit),C,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",40.7905165,-73.97184567,6,1032497.0,139 WEST   91 STREET,49856,Private
19,50018873,"PS/IS 78Q, THE RIVERVIEW SCHOOL @ Q312",Long Island City,NY,Queens,11101.0,1/31/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/27/2022,2530,FSE (Public School Cafeteria),C,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.74706169,-73.95514353,26,4542629.0,46-08 5 STREET,263898,Public
20,40543386,P.S. 150 QUEENS,SUNNYSIDE,NY,Queens,11104.0,12/2/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/8/2020,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.74553003,-73.92377571,26,4002387.0,4001 43 AVENUE,263898,Public
21,40543533,P.S. 152 EVERGREEN,Bronx,NY,Bronx,10472.0,3/23/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,3/23/2023,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.82404752,-73.88003784,17,2023336.0,1007 EVERGREEN AVENUE,168582,Public
22,50087158,PRE-K CENTER AT 108-18 ROOSEVELT AVENUE,CORONA,NY,Queens,11368.0,11/17/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,11/17/2022,2530,FSE (Public School Cafeteria),,,,40.75083661,-73.85830189,21,4000000.0,10818 ROOSEVELT AVE,263898,Public
23,50000503,"PS/MS 11X498 - VAN NEST ACADEMY, P.S. X596 AT X498, ICAHN CHARTER SCHOOL 2",Bronx,NY,Bronx,10462.0,2/2/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/19/2022,2530,FSE (Public School Cafeteria),C,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",40.84472348,-73.85820595,13,2116414.0,1640 BRONXDALE AVENUE,168582,Public
24,40737453,BAIS ESTHER SCHOOL,Brooklyn,NY,Brooklyn,11219.0,11/22/2022,ESTHER SCHOOL BAIS,2/28/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.63377416,-73.99154407,44,3137766.0,1353 50 STREET,116725,Private
25,40740820,BETH JACOB ES,New York,NY,Manhattan,10002.0,2/22/2023,BETH JACOB ES,5/24/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.71628134,-73.98415294,1,1004079.0,142 BROOME STREET,49856,Private
26,40734760,MESIVTA NACHLAS YAKOV OF ADAS YEREIM,Brooklyn,NY,Brooklyn,11211.0,2/16/2023,MESIVTA NACHLAS YAKOV OF ADAS YEREIM,5/25/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.70674299,-73.96035378,33,3059912.0,185 WILSON STREET,116725,Private
27,50105530,YESHIVAT MEKOR HAIM,Brooklyn,NY,Brooklyn,11230.0,5/16/2022,CONGREGATION SHAARI TEFILOH OF KINGS HIGHWAY,2/4/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.61619541,-73.96896951,44,3172885.0,1326 OCEAN PARKWAY,116725,Private
28,40543524,P.S. 001 COURTLANDT SCHOOL,Bronx,NY,Bronx,10451.0,1/26/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/26/2023,2530,FSE (Public School Cafeteria),G,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,40.81880895,-73.91900911,17,2001881.0,335 EAST  152 STREET,168582,Public
29,40894158,ST. FRANCIS DE SALES SCHOOL FOR THE DEAF,Brooklyn,NY,Brooklyn,11225.0,12/2/2022,ST. FRANCIS DE SALES SCHOOL FOR THE DEAF,3/10/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.67114049,-73.96023083,35,3029670.0,260 EASTERN PARKWAY,116725,Private
30,50034846,TREVOR DAY SCHOOL,New York,NY,Manhattan,10128.0,12/13/2022,TREVOR DAY SCHOOL,12/13/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),,,,40.78331923,-73.94702678,5,1089945.0,312 EAST   95 STREET,49856,Private
31,40540346,P.S. 003 THE MARGARET GIOIOSA SCHOOL,,NY,Staten Island,10309.0,12/7/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,5/11/2021,2530,FSE (Public School Cafeteria),,,,40.52069164,-74.21126239,51,5083311.0,80 SOUTH GOFF AVENUE,61797,Public
32,50105986,NEW WORLD PREPARATORY SCHOOL,,NY,Staten Island,10303.0,1/17/2023,New World Preparatory Charter School,1/17/2023,2533,FSE (Private School Cafeteria - Not-For-Profit),AV,18-11,Food Protection Certificate not available for inspection,40.63008687,-74.14726987,49,5107102.0,351 MORNINGSTAR ROAD,11337,Private
33,40545915,P.S. 376,Brooklyn,NY,Brooklyn,11237.0,8/4/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,7/22/2022,2530,FSE (Public School Cafeteria),C,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",40.69801327,-73.92071075,37,3075072.0,194 HARMAN STREET,260855,Public
34,50102107,P.S. 398,ASTORIA,NY,Queens,11106.0,2/9/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,2/9/2023,2530,FSE (Public School Cafeteria),,,,40.75518581,-73.92755816,26,,3601 34TH ST,263898,Public
35,40542517,P.S. 169 SUNSET PARK,Brooklyn,NY,Brooklyn,11232.0,3/1/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,3/1/2023,2530,FSE (Public School Cafeteria),C,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",40.64628242,-74.00190267,38,3011002.0,4305 7 AVENUE,260855,Public
36,50071632,UNITED TALMUDICAL ACADEMY OF BORO PARK,Brooklyn,NY,Brooklyn,11218.0,11/22/2022,UNITED TALMUDICAL ACADEMY OF BORO PARK,2/18/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.64244424,-73.9848804,39,3413703.0,1275 36 STREET,116725,Private
37,40542889,"NEW VISIONS AIM CHARTER HIGH SCHOOL II, ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX, BRONX REGIONAL",Bronx,NY,Bronx,10459.0,2/1/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,11/19/2020,2530,FSE (Public School Cafeteria),,,,40.82352492,-73.8988707,17,2005366.0,1010 REVEREND JAMES A POLITE AVENUE,168582,Public
38,40542830,P.S. 179 KENSINGTON,Brooklyn,NY,Brooklyn,11218.0,3/16/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,2/26/2021,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.64045583,-73.97764197,39,3126001.0,202 AVENUE C,260855,Public
39,41470005,RAZI SCHOOL,WOODSIDE,NY,Queens,11377.0,12/6/2022,SCHOOL RAZI,4/27/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10C,Lighting Inadequate,40.74212182,-73.90971994,26,4030990.0,5511 QUEENS BOULEVARD,39686,Private
40,40735285,YESHIVA OHEL MOSHE,Brooklyn,NY,Brooklyn,11214.0,1/18/2023,YESHIVA OHEL MOSHE,5/10/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),A,20D,"“Choking first aid” poster not posted. “Alcohol and pregnancy” warning sign not posted. Resuscitation equipment: exhaled air resuscitation masks (adult & pediatric), latex gloves, sign not posted.",40.60574703,-73.98986581,44,3162913.0,7914 BAY PARKWAY,116725,Private
41,40734755,TALMUD TORAH IMREI CHAIM,Brooklyn,NY,Brooklyn,11204.0,2/2/2023,TALMUD TORAH & YESHIVA IMREI CHAIM VIZNITZ,8/5/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.62557721,-73.98253906,44,3130270.0,1824 53 STREET,116725,Private
42,41519621,CHURCHILL SCHOOL & CENTER,New York,NY,Manhattan,10016.0,10/27/2022,"BUTTER BEANS, INC",2/19/2021,2529,FSE (Private School Cafeteria - For Profit),,,,40.74157883,-73.97801208,2,1081677.0,301 EAST   29 STREET,49856,Private
43,40542985,"I.S. 068 ISAAC BILDERSEE, EXPLORE EXCEL CHARTER SCHOOL - UPPER",Brooklyn,NY,Brooklyn,11236.0,1/20/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,4/1/2022,2530,FSE (Public School Cafeteria),C,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",40.6355458,-73.91079064,46,3224947.0,956 EAST   82 STREET,260855,Public
44,50082117,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,FOREST HILLS,NY,Queens,11375.0,12/16/2022,OUR LADY QUEEN OF MARTYRS CATHOLIC ACADEMY,12/16/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.71869768,-73.84120249,29,4443187.0,7255 AUSTIN ST,39686,Private
45,40541251,"THE CHILDRENS WORKSHOP SCHOOL, THE EAST VILLAGE COMMUNITY SCH, P.S. M094 @ CHILDREN'S WORKSHOP SCH",New York,NY,Manhattan,10009.0,9/28/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,9/28/2022,2530,FSE (Public School Cafeteria),G,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,40.7278853,-73.97852534,2,1079053.0,610 EAST   12 STREET,152463,Public
46,50088609,ZETA CHARTER SCHOOL INWOOD I,New York,NY,Manhattan,10033.0,2/17/2023,ZETA CHARTER SCHOOLS - NEW YORK CITY,5/5/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),,,,40.85368959,-73.93253652,10,1075520.0,652 WEST  187 STREET,49856,Private
47,40542743,P.S. 112 LEFFERTS PARK,Brooklyn,NY,Brooklyn,11228.0,12/19/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,4/19/2021,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.61977332,-74.00079246,43,3157760.0,7115 15 AVENUE,260855,Public
48,40542161,P.S. 158 WARWICK,Brooklyn,NY,Brooklyn,11207.0,11/17/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,2/26/2021,2530,FSE (Public School Cafeteria),C,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.67257167,-73.88480315,37,3089176.0,400 ASHFORD STREET,260855,Public
49,40540736,M.S. 158 MARIE CURIE,BAYSIDE,NY,Queens,11361.0,1/25/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/25/2023,2530,FSE (Public School Cafeteria),G,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,40.75613119,-73.77286051,19,4438325.0,4635 OCEANIA STREET,263898,Public
50,50130814,BROOKLYN SCHOLARS CHARTER SCHOOL,Brooklyn,NY,Brooklyn,11208.0,1/9/2023,SLA MANAGEMENT INC,1/9/2023,2529,FSE (Private School Cafeteria - For Profit),G,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",40.66883069,-73.86718951,42,3327470.0,2635 LINDEN BOULEVARD,116725,Private
51,40540836,I.S. 226 QUEENS,SOUTH OZONE PARK,NY,Queens,11420.0,10/25/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/25/2022,2530,FSE (Public School Cafeteria),G,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",40.67576338,-73.8169379,28,4253607.0,12110 ROCKAWAY BOULEVARD,263898,Public
52,50095553,CENTRAL UTA,Brooklyn,NY,Brooklyn,11206.0,1/12/2023,BAIS RUCHEL D'SATMAR INC,3/10/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,40.69502937,-73.94912749,36,3048637.0,585 MARCY AVENUE,116725,Private
53,50045105,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,New York,NY,Manhattan,10003.0,1/25/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/7/2022,2530,FSE (Public School Cafeteria),,,,40.73651113,-73.99272538,2,1089902.0,10 EAST   15 STREET,152463,Public
54,41247191,BNOS MALKA ACADEMY,FOREST HILLS,NY,Queens,11375.0,1/5/2023,MALKA ACADEMY BNOS,5/19/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",40.72314278,-73.83821548,29,4437364.0,7102 113 STREET,39686,Private
55,40543717,"NORTH BRONX SCHOOL OF EMPOWERMENT, LEADERS OF TOMORROW",Bronx,NY,Bronx,10467.0,10/3/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,10/3/2022,2530,FSE (Public School Cafeteria),G,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",40.88086667,-73.86090228,12,2058396.0,3710 BARNES AVENUE,168582,Public
56,40738821,MERKAZ HATORAH OF BELLE HARBOR,Rockaway Park,NY,Queens,11694.0,1/17/2023,HATORAH OF BELL MERCAZ,5/9/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),C,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,40.58003528,-73.85034975,32,4304071.0,505 BEACH  129 STREET,39686,Private
57,50005680,TALMUD TORAH OHEL YOCHANON,Brooklyn,NY,Brooklyn,11218.0,3/16/2023,TALMUD TORAH OHEL YOCHANAN,7/12/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.64075896,-73.98499249,39,3328346.0,1325 38 STREET,116725,Private
58,50064787,YESHIVA TOLDOS YESUSCHER,Brooklyn,NY,Brooklyn,11219.0,5/3/2022,YESHIVA TOLDOS YESUSCHER,6/15/2021,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate not held by supervisor of food operations.,40.62400019,-73.99511163,38,3132691.0,1531 63 STREET,116725,Private
59,40542781,SHEEPSHEAD BAY HIGH SCHOOL,Brooklyn,NY,Brooklyn,11235.0,8/3/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,8/3/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.59411733,-73.93769677,48,3203631.0,3000 AVENUE X,260855,Public
60,40541003,"BENJAMIN N. CARDOZO HIGH SCHOOL, P.S. Q993",OAKLAND GARDENS,NY,Queens,11364.0,11/9/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,12/31/2020,2530,FSE (Public School Cafeteria),C,04M,Live roaches present in facility's food and/or non-food areas.,40.75232524,-73.75598916,23,4161735.0,5700 223 STREET,263898,Public
61,50045973,CENTRAL UTA,Brooklyn,NY,Brooklyn,11205.0,1/12/2023,BAIS RUCHEL DSATMAR INC,1/12/2023,2533,FSE (Private School Cafeteria - Not-For-Profit),C,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,40.69626371,-73.96110653,33,3054188.0,401 PARK AVENUE,116725,Private
62,40541270,P.S. M079 - HORAN SCHOOL,New York,NY,Manhattan,10035.0,2/1/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/28/2022,2530,FSE (Public School Cafeteria),,,,40.80241235,-73.94263375,9,1053968.0,55 EAST  120 STREET,152463,Public
63,40541328,"P.S. 191 MAYFLOWER, PS 993",FLORAL PARK,NY,Queens,11001.0,2/16/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,7/7/2021,2530,FSE (Public School Cafeteria),C,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40.73430911,-73.70913615,23,4180083.0,8515 258 STREET,263898,Public
64,DM21121645020408745,DREAM CHARTER HIGH SCHOOL,New York,NY,Manhattan,10029.0,11/29/2022,DREAM CHARTER SCHOOLS,11/29/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),,,,40.79491783,-73.93495109,8,1081441.0,439 EAST  115 STREET,49856,Private
65,41284280,XAVIER HIGH SCHOOL,New York,NY,Manhattan,10011.0,10/17/2022,"COMPASS GROUP USA, INC.",3/16/2021,2529,FSE (Private School Cafeteria - For Profit),C,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40.73779574,-73.99380058,3,1080629.0,30 WEST   16 STREET,49856,Private
66,DM21191507038059598,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,New York,NY,Manhattan,10029.0,12/8/2022,HARBOR SCIENCE AND ARTS CHARTER,6/14/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,40.79566394,-73.94452849,8,1052192.0,132 EAST  111 STREET,49856,Private
67,40936000,BOBOVER YESHIVAH BNEI ZION,Brooklyn,NY,Brooklyn,11219.0,1/12/2023,BOBOVER YESHIVA BNEI ZION,4/11/2022,2533,FSE (Private School Cafeteria - Not-For-Profit),G,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,40.63242321,-73.98629137,44,3128816.0,1533 48 STREET,116725,Private
68,40541681,P.S. 121 QUEENS,SOUTH OZONE PARK,NY,Queens,11420.0,11/17/2022,NEW YORK CITY DEPARTMENT OF EDUCATION,2/11/2022,2530,FSE (Public School Cafeteria),G,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",40.68404262,-73.8158334,28,4249769.0,12610 109 AVENUE,263898,Public
69,40543628,P.S. 022 GRANITEVILLE,,NY,Staten Island,10303.0,1/17/2023,NEW YORK CITY DEPARTMENT OF EDUCATION,1/17/2023,2530,FSE (Public School Cafeteria),,,,40.62536101,-74.15096989,49,5107239.0,1860 FOREST AVENUE,61797,Public
